adaptation_rate,choke_prob,cover_prob,max_ticks,n_agents,objective_controller,objective_progress,objective_radius,seed,stochasticity,ticks,wall_prob,weapon_cooldown_ticks
0.1490121162780381,0.06095538748369809,0.07166536408421821,200,30,0.0,0.2599999999999998,7,1187,0.47852736923067796,200.0,0.02710734175564579,3
0.09267730272642644,0.07944170639763158,0.13522492607188194,200,30,1.0,0.64,6,1185,0.45488882292397015,200.0,0.0937033759163225,2
0.00757800895882221,0.021026905428871034,0.1805390360200305,200,30,1.0,0.0,5,1190,0.3067395245947255,200.0,0.17294609437402395,3
0.15020090637122296,0.04156632532518414,0.0591573532933608,200,30,0.0,0.0,9,1188,0.49227636916246614,200.0,0.028402472630089708,1
0.07111729641871548,0.039254183567226354,0.1893095384541681,200,30,1.0,0.0,7,1194,0.2650446066059442,200.0,0.20179655773850713,3
0.11997268175932152,0.02688148854853041,0.1336619233599803,200,30,0.0,1.0,4,1192,0.36379645158623364,200.0,0.0844708881941113,2
0.01853612166524762,0.058161579322236014,0.05063965817487462,200,30,0.0,0.0,8,1191,0.08637893561566062,200.0,0.19423557988849885,2
0.05131814850408426,0.028008680592774282,0.0739753216390922,200,30,1.0,0.0,11,1189,0.313239887704588,200.0,0.13508982970910247,2
0.14241857389958198,0.04303944077902959,0.0020882161426019723,200,30,1.0,0.33999999999999986,5,1193,0.0020251305256357294,200.0,0.038376404074432734,3
0.193200372878599,0.05027287135104,0.11788652497772659,200,30,1.0,0.0,9,1197,0.1290321132397147,200.0,0.0016744875831279271,3
0.044318891304605416,0.08838724832516115,0.011093327821269929,200,30,0.0,1.0,4,1196,0.491906488079473,200.0,0.10073818606401577,2
